state,confirmed,confirmed/1M,deaths,deaths/1M,pct_change_2day,pct_change_2day_prev,pct_change_3day,pct_change_3day_prev
AK,21,28.706368029307836,0,0.0,0.32499999999999996,0.41666666666666663,0.3277777777777777,1.1666666666666667
AL,138,28.14497107492375,0,0.0,0.3158741837579325,0.3798773690078038,0.23195031053947637,0.4066556465357065
AR,165,54.67513855177156,0,0.0,0.31164617486338797,0.7135874877810362,0.39055981550032315,0.4595959595959596
AZ,152,20.88280118597824,2,0.2747736998155032,0.40047805302042583,0.7000000000000001,0.5114298131247283,0.375925925925926
CA,1642,41.55676080285333,30,0.7592587235600488,0.18134541069421983,0.25199384014591186,0.19967845306785525,0.19890540193572245
CO,476,82.65702751437121,6,1.0418953048029984,0.1474464929010384,0.40795204834405896,0.20178743329383306,0.21847826086956515
CT,223,62.547559284848596,5,1.4024116431580402,0.07474226804123707,0.7791805401405846,0.12320344074866536,0.8683006535947713
DC,102,144.52730361644154,2,2.8338686983615986,0.20459118346442295,0.5326612903225806,0.3947274556429486,0.23313782991202348
DE,47,48.26631504142688,0,0.0,0.11432748538011694,0.42280701754385963,0.1651072124756335,0.5888157894736842
FL,830,38.644667266388446,13,0.605277921039819,0.21499958222938564,0.33907269089187253,0.26003968951183665,0.3917591895024948
GA,600,56.51088781147742,23,2.1662506994399675,0.1952874049027895,0.45281284471136163,0.28466314798397346,0.3372787747181509
HI,48,33.901369615332456,0,0.0,0.36018711018711025,0.3839285714285714,0.4484580734580735,0.32380952380952377
IA,90,28.52551607412831,0,0.0,0.41732026143790846,0.26998432601880873,0.2857892652010299,0.2593703148425787
ID,42,23.50114456169526,0,0.0,0.3659420289855073,0.6565656565656566,0.6075977162933685,0.3157407407407408
IL,1049,82.78210369291044,9,0.7102373052775919,0.34013688834405975,0.9955970978877772,0.3555099002862452,0.7148275950208317
IN,201,29.85642623925336,6,0.8912366041568166,0.5293422965116279,0.48589743589743595,0.49733930878552973,0.3461538461538462
KS,64,21.968109170518524,2,0.6865034115787039,0.2091307814992025,0.5915032679738562,0.23745973668574286,0.5084175084175084
KY,99,22.159186672793645,3,0.671490505236171,0.4944974321349963,0.3203203203203203,0.41975504484675424,0.21564238230904906
LA,837,180.04669598179657,20,4.3021910628864175,0.25906491278238486,0.44887040419280544,0.29685960171886877,0.42589759639264263
MA,646,92.95628766546326,5,0.7194759107233999,0.2508313155770783,0.3818667487133587,0.2536029908725237,0.20372871357829214
MD,244,40.359397123235105,3,0.4962220957774808,0.27977535904301565,0.325673446948873,0.3173580275240042,0.3796349434082576
ME,89,66.20979428840094,0,0.0,0.2607142857142857,0.1575091575091575,0.1994505494505494,0.4776493930905696
MI,1037,103.83647227551171,9,0.9011844266920013,0.371763039799897,1.8383954981603061,0.46540689679274566,1.175811518934956
MN,169,29.966494267711084,1,0.17731653412846796,0.21231884057971018,0.22398949365241505,0.23892417087336484,0.1834295334295335
MO,100,16.293470163723306,3,0.4888041049116992,0.3737888832228454,0.7159498207885305,0.4857517286001765,0.7306397306397306
MS,207,69.55296929018003,1,0.33600468256125615,0.6142857142857143,0.5352941176470589,0.6095238095238096,0.5683401565754508
MT,31,29.005088053833443,0,0.0,0.4380952380952381,0.18181818181818177,0.41327561327561324,0.16931216931216939
NC,302,28.79458249952994,0,0.0,0.33230306094310136,0.5777584204413473,0.3543267018753467,0.5117011278195488
ND,28,36.74241728363309,0,0.0,0.26461988304093564,1.5,0.8430799220272904,1.0
NE,51,26.364655233022194,0,0.0,0.18456614509246083,0.2420977011494253,0.214998119716813,0.1726190476190476
NH,65,47.80427605572066,0,0.0,0.21590909090909094,0.34615384615384615,0.14393939393939395,0.40723981900452483
NJ,1914,215.48739668932998,20,2.251696935102717,0.46668120200164265,0.9892435668352565,0.37760777348177793,0.7596754057428216
NM,57,27.18390483916428,0,0.0,0.16279069767441856,0.3751552795031057,0.18471760797342193,0.29156010230179036
NV,190,61.68518737362653,2,0.6493177618276477,0.2962024626784352,0.4636363636363636,0.2641349751189568,0.31795334295334293
NY,15793,811.8308005408367,117,6.0143230331968525,0.37891097635291704,0.8496144198929079,0.43558339709641497,0.7923350605957541
OH,355,30.370173922714322,3,0.2566493570933605,0.4324888122319597,0.41875122141880006,0.4395863790229871,0.335767673261599
OK,67,16.932143298497763,2,0.505437113387993,0.17289179822872547,0.7147129186602871,0.15313998669793816,0.7385964912280701
OR,161,38.17212879797863,4,0.9483758707572331,0.20614035087719296,0.2947860962566845,0.23591174906964377,0.3389094565565154
PA,509,39.75944675471913,3,0.23433858598066284,0.2961421142114211,0.413068472151252,0.3543860049435364,0.3889838231943496
PR,23,7.201691833970318,1,0.31311703625957904,0.29761904761904767,0.8999999999999999,0.7984126984126984,0.0
RI,83,78.34911800604327,0,0.0,0.23989898989898994,0.2803030303030303,0.23569023569023573,0.2877846790890269
SC,196,38.06775827905764,3,0.5826697695774129,0.25167084377610693,0.6394799054373522,0.3529657477025898,0.38254889318719104
SD,21,23.737960050143613,1,1.1303790500068387,0.25,0.13636363636363635,0.25757575757575757,0.03333333333333336
TN,505,73.90416225314912,2,0.2926897514976203,0.47673033096954065,0.7311770507973039,0.4888158916420314,0.4800038597506952
TX,627,21.623760974877776,6,0.206925942343328,0.2768965637750421,0.5091373943975099,0.3563925809782332,0.45657836439883365
UT,181,56.45738340926488,1,0.31191924535505455,0.53723604826546,0.27181372549019606,0.3498240321769733,0.2921065862242333
VA,221,25.89180575897025,6,0.702944952732224,0.3476775956284154,0.25901875901875904,0.30922614119335434,0.2674383186110265
VT,52,83.33480237632394,2,3.20518470678169,0.39655172413793105,0.2702020202020202,0.37042842215256006,0.24074074074074078
WA,1996,262.1179312696843,95,12.475552840991988,0.14486362831249555,0.23228005596073575,0.13242846538662492,0.16321554708946176
WI,381,65.43655110560292,4,0.6869979118698468,0.35669133518347207,0.5150738310090237,0.3384231542732581,0.5126511803200055
WV,12,6.696185685229051,0,0.0,0.3214285714285714,1.75,1.0476190476190477,inf
WY,24,41.46803764606684,0,0.0,0.12700228832951943,0.12777777777777777,0.10318671073819814,1.0767676767676768
US,33163,100.65879287442952,415,1.2596387251722778,0.32084865838932997,0.581039991813302,0.34676160835165953,0.45651107497813587
